month,bitcoin,cryptocurrency,x3d_printer,x5g,cloud_computing,speech_recognition
2008-04-01,0,0,2.75,1.25,6.75,92.5
2008-05-01,0,0,2.5,1.25,8.5,93
2008-06-01,0,0,2.5,1.25,9.75,89.5
2008-07-01,0,0,2.5,1,13.25,87.75
2008-08-01,0,0,2.5,1,16.5,90.25
2008-09-01,0,0,2,1,19.5,89.5
2008-10-01,0,0,2,1.25,25.75,86.25
2008-11-01,0,0,2,1.25,29.5,86.5
2008-12-01,0,0,2,1.25,31,87
2009-01-01,0,0,2.25,1.25,33.75,87.25
2009-02-01,0,0,2.25,1,33.75,91.25
2009-03-01,0,0,2,1,38.25,92
2009-04-01,0,0,2,1,44.25,92
2009-05-01,0,0,2,1,47.75,90.5
2009-06-01,0,0,2,1,50.25,87.25
2009-07-01,0,0,2.25,1,49.5,84.5
2009-08-01,0,0,2.5,1,49.25,80
2009-09-01,0,0,3,1.25,52.5,80.25
2009-10-01,0,0,2.5,1.5,56.75,83.75
2009-11-01,0,0,3,1.75,62.5,84.25
2009-12-01,0,0,2.75,2,64.25,88.75
2010-01-01,0,0,2.25,2,65,89
2010-02-01,0,0,3,2,67,87
2010-03-01,0,0,2.75,2,67.75,86.5
2010-04-01,0,0,3,2,69.75,82.5
2010-05-01,0,0,3.75,2,72,81.5
2010-06-01,0,0,3.5,2,71.25,82.25
2010-07-01,0,0,3.5,2,68.75,77.25
2010-08-01,0,0,3.75,2.25,70.25,74.75
2010-09-01,0,0,3.75,2.25,72.5,71.5
2010-10-01,0,0,4,2.25,77.75,66.25
2010-11-01,0,0,4.75,2.25,84.5,69
2010-12-01,0,0,4.75,2,87,71.75
2011-01-01,0,0,4.75,2.25,90.25,72.75
2011-02-01,0,0,4.75,2.25,91.75,75
2011-03-01,0,0,4.5,2.25,93.5,74.25
2011-04-01,0,0,5,2.25,95,70.5
2011-05-01,0.25,0,5,2,93,66.5
2011-06-01,0.75,0,5.5,2,93.75,64
2011-07-01,1,0,5.75,2,90.25,60.5
2011-08-01,1.25,0,5.75,2,87,60.75
2011-09-01,1.25,0,6,2,89,62
2011-10-01,0.75,0,6,2,87.5,63
2011-11-01,0.5,0,6,2,89.25,66
2011-12-01,0.25,0,6,2,91.25,67.5
2012-01-01,0,0,6.5,2,89.25,68.5
2012-02-01,0,0,7,2,87.25,66.5
2012-03-01,0,0,7,2,85.5,66.25
2012-04-01,0,0,7.25,2,82,64.25
2012-05-01,0,0,7.5,2,76.5,61
2012-06-01,0,0,7.25,2,70,57.5
2012-07-01,0,0,8,2,64.25,55.25
2012-08-01,0.25,0,9.5,2,61.75,52.75
2012-09-01,0.5,0,10,2.25,62.75,54
2012-10-01,0.5,0,11.75,2.5,64.75,56.5
2012-11-01,0.75,0,14.25,2.5,64,54
2012-12-01,0.75,0,15,2.5,60.5,53.25
2013-01-01,0.75,0,20,2.25,56.75,52
2013-02-01,1,0,25,2,53.5,51
2013-03-01,1.25,0,30.75,2,52,54
2013-04-01,2.75,0,35.75,2,53,54.25
2013-05-01,3.25,0,50,2,52,54.25
2013-06-01,3.5,0,58.75,2,49.25,53.5
2013-07-01,3.5,0,62.75,2,48.25,49.5
2013-08-01,2.25,0,67,2,46.25,46.5
2013-09-01,2,0,56,2,46.5,45
2013-10-01,2.25,0,51.25,2,48.5,46.25
2013-11-01,4.25,0.25,53.5,2,48.25,48.75
2013-12-01,6.75,0.75,52.75,2,47.75,51
2014-01-01,8.25,1,57,2,46.5,51.75
2014-02-01,9.5,1.5,58,2,46.75,51.25
2014-03-01,8.5,1.5,53,2,46.5,51
2014-04-01,6.5,1.25,53.75,2,47.75,50.5
2014-05-01,5.25,1.25,62.5,2,46.5,49.75
2014-06-01,4,1,61.5,2,43,47.75
2014-07-01,3.25,1,62.75,2,41.5,43
2014-08-01,3,0.75,61.25,2,40.25,40.75
2014-09-01,3,0.75,50.75,2,42.25,41.25
2014-10-01,3,0.5,53.25,2,42.75,42.25
2014-11-01,3,0.25,54.5,2,43.5,44.5
2014-12-01,3,0.25,56,2,42.75,45.5
2015-01-01,3,0,63.5,2.25,40,43.75
2015-02-01,3,0,62.25,2.5,40.25,43
2015-03-01,3,0,61.5,2.75,39.5,43.25
2015-04-01,2.75,0,60.75,3,39.75,43
2015-05-01,2.5,0,52,3,39.5,43
2015-06-01,2.25,0,50.75,3,38.25,41.25
2015-07-01,2.25,0,48.75,3,36.75,38
2015-08-01,2.5,0,47.5,3,36.5,37.25
2015-09-01,2.5,0,48.25,3.25,38.25,37
2015-10-01,2.5,0,49.5,3.25,39.25,38.75
2015-11-01,2.75,0,52.5,3.25,40.25,40
2015-12-01,2.75,0,53.25,3.5,39.25,40
2016-01-01,3,0,53.75,3.25,36.5,39.5
2016-02-01,3.25,0,54.25,3.5,35.25,37.25
2016-03-01,3,0.25,52.5,3.75,35,37
2016-04-01,3,0.5,54.25,4,35.5,37.75
2016-05-01,3,0.75,53.5,4,36,38
2016-06-01,3.25,1,51.5,4,35.25,38
2016-07-01,3.5,1,48.25,3.75,33.25,36.75
2016-08-01,3.5,1,44,3.5,32,33.75
2016-09-01,3.5,1,43.25,3.75,32.25,31.75
2016-10-01,3.25,1,43.75,3.75,32.25,33
2016-11-01,3.25,1,46,4,33.75,34.75
2016-12-01,3.75,1,50.25,4,33.5,38.25
2017-01-01,4.5,1,52,4,33,41.5
2017-02-01,5.25,1,54.25,4.25,34,42
2017-03-01,6,1.25,57,4.75,34.25,44.5
2017-04-01,6.25,1.75,57,5,35.25,44.75
2017-05-01,8.25,3.5,57.5,5.25,36.75,42.5
2017-06-01,10.25,7,56.25,5,35,41.25
2017-07-01,11.75,9.5,53.25,4.75,33.5,38.75
2017-08-01,15.25,13.5,51.5,4.5,33,36.75
2017-09-01,16.75,16.75,50.75,4.5,31.75,36.25
2017-10-01,18.75,17.75,51,4.75,33.25,36.25
2017-11-01,26.25,22.5,55,5,35.25,37.25
2017-12-01,46.25,40.5,57,5.5,35,38.25
2018-01-01,54.25,60.25,56.5,5.75,34.25,39
2018-02-01,58.5,67.75,57,6.5,33.5,38.25
2018-03-01,53.25,67.25,54.75,6.75,31.75,37.75
2018-04-01,32.75,50.25,53.5,7,32,37.75
2018-05-01,23.25,30,54,7.5,32.25,36.75
2018-06-01,16.75,21.75,52,7.5,31,36.25
2018-07-01,14.5,18,51.5,7.75,30.5,33.5
2018-08-01,13.25,15.75,52.5,8.25,30,31.75
2018-09-01,12.5,14.25,52.5,8.75,31.5,32.5
2018-10-01,11.75,13.25,54.25,9.25,33.75,33.75
2018-11-01,11.75,13,56.5,10.25,35,34.25
2018-12-01,11.75,12,56.5,11.5,35.5,33.5
2019-01-01,11.5,11,56.75,12.75,34.25,32.25
2019-02-01,11.25,10.25,55.25,15,33.75,31.5
2019-03-01,10,9,52,16.5,33.5,32.75
2019-04-01,9.75,8.75,52.75,18.75,34,33.25
2019-05-01,11.5,9.25,52.5,20.75,34.5,32.25
2019-06-01,14,10.25,53.25,22.5,33.5,30.5
2019-07-01,16.5,11,54.5,23.5,32.75,28.75
2019-08-01,17.25,10.75,51.5,23,32.75,28.25
2019-09-01,16,10,50.5,23,33.5,29.75
2019-10-01,14.25,8.5,51.25,21.5,35,30.75
2019-11-01,12.5,7.5,53.5,21.25,37.75,31
2019-12-01,11.25,7.25,56.75,22,38.75,30.75
2020-01-01,11.25,7.25,59,23,39,30.25
2020-02-01,11.75,7.5,59.25,25.25,40,30.75
2020-03-01,13.5,8.25,62.75,33,38,29.75
2020-04-01,14.75,8.75,73,52,37,31.5
2020-05-01,16.5,9.25,76.5,57.5,36,31.25
2020-06-01,16.25,9.5,78.25,60.25,35.25,30.25
2020-07-01,15.25,9.5,74.25,56.75,35.25,30.5
2020-08-01,15.5,10.25,64,40.75,36,28.25
2020-09-01,13.75,10.25,60.5,37.75,38.5,28.75
2020-10-01,13.75,10,59,38.75,38.75,29.25
2020-11-01,16,10.5,60.25,39,40,28.5
2020-12-01,19.5,11.75,61.25,41,40.5,28.75
2021-01-01,32,17.75,62.25,42.75,38,27.25
